[impact] 대상 사용자 = 121
[weekly-cards][timing] line aggregates+verdict 159ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=190ms currentWeek=0ms summary+cards=538ms total=728ms
[weekly-cards][timing] line aggregates+verdict 175ms | weeks=17
[weekly-cards][timing] getWeeklyGrowth crew=181ms currentWeek=0ms summary+cards=555ms total=736ms
[weekly-cards][timing] line aggregates+verdict 160ms | weeks=37
[weekly-cards][timing] getWeeklyGrowth crew=194ms currentWeek=0ms summary+cards=571ms total=765ms
[weekly-cards][timing] line aggregates+verdict 159ms | weeks=14
[weekly-cards][timing] getWeeklyGrowth crew=195ms currentWeek=0ms summary+cards=547ms total=742ms
[weekly-cards][timing] line aggregates+verdict 173ms | weeks=18
[weekly-cards][timing] getWeeklyGrowth crew=179ms currentWeek=0ms summary+cards=552ms total=731ms
[weekly-cards][timing] line aggregates+verdict 161ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=172ms currentWeek=0ms summary+cards=530ms total=702ms
[weekly-cards][timing] line aggregates+verdict 155ms | weeks=12
[weekly-cards][timing] getWeeklyGrowth crew=158ms currentWeek=0ms summary+cards=545ms total=703ms
[weekly-cards][timing] line aggregates+verdict 160ms | weeks=32
[weekly-cards][timing] getWeeklyGrowth crew=172ms currentWeek=0ms summary+cards=526ms total=698ms
[weekly-cards][timing] line aggregates+verdict 151ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=181ms currentWeek=0ms summary+cards=524ms total=705ms
[weekly-cards][timing] line aggregates+verdict 157ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=157ms currentWeek=0ms summary+cards=524ms total=681ms
[weekly-cards][timing] line aggregates+verdict 160ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=175ms currentWeek=0ms summary+cards=550ms total=725ms
[weekly-cards][timing] line aggregates+verdict 188ms | weeks=4
[weekly-cards][timing] getWeeklyGrowth crew=167ms currentWeek=0ms summary+cards=565ms total=732ms
[weekly-cards][timing] line aggregates+verdict 157ms | weeks=16
[weekly-cards][timing] getWeeklyGrowth crew=175ms currentWeek=0ms summary+cards=528ms total=703ms
[weekly-cards][timing] line aggregates+verdict 169ms | weeks=16
[weekly-cards][timing] getWeeklyGrowth crew=168ms currentWeek=0ms summary+cards=535ms total=703ms
[weekly-cards][timing] line aggregates+verdict 175ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=172ms currentWeek=0ms summary+cards=594ms total=766ms
[weekly-cards][timing] line aggregates+verdict 160ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=172ms currentWeek=0ms summary+cards=517ms total=689ms
[weekly-cards][timing] line aggregates+verdict 169ms | weeks=14
[weekly-cards][timing] getWeeklyGrowth crew=161ms currentWeek=0ms summary+cards=571ms total=732ms
[weekly-cards][timing] line aggregates+verdict 153ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=168ms currentWeek=0ms summary+cards=527ms total=695ms
[weekly-cards][timing] line aggregates+verdict 157ms | weeks=17
[weekly-cards][timing] getWeeklyGrowth crew=170ms currentWeek=0ms summary+cards=531ms total=701ms
[weekly-cards][timing] line aggregates+verdict 172ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=172ms currentWeek=0ms summary+cards=562ms total=734ms
[weekly-cards][timing] line aggregates+verdict 164ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=168ms currentWeek=0ms summary+cards=543ms total=711ms
[weekly-cards][timing] line aggregates+verdict 164ms | weeks=35
[weekly-cards][timing] getWeeklyGrowth crew=181ms currentWeek=0ms summary+cards=549ms total=730ms
[weekly-cards][timing] line aggregates+verdict 158ms | weeks=14
[weekly-cards][timing] getWeeklyGrowth crew=165ms currentWeek=0ms summary+cards=529ms total=694ms
[weekly-cards][timing] line aggregates+verdict 169ms | weeks=15
[weekly-cards][timing] getWeeklyGrowth crew=194ms currentWeek=0ms summary+cards=548ms total=742ms
[weekly-cards][timing] line aggregates+verdict 157ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=172ms currentWeek=0ms summary+cards=548ms total=720ms
[impact] 25/121
[weekly-cards][timing] line aggregates+verdict 166ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=165ms currentWeek=0ms summary+cards=533ms total=698ms
[weekly-cards][timing] line aggregates+verdict 156ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=169ms currentWeek=0ms summary+cards=552ms total=721ms
[weekly-cards][timing] line aggregates+verdict 170ms | weeks=12
[weekly-cards][timing] getWeeklyGrowth crew=163ms currentWeek=0ms summary+cards=539ms total=702ms
[weekly-cards][timing] line aggregates+verdict 153ms | weeks=40
[weekly-cards][timing] getWeeklyGrowth crew=172ms currentWeek=0ms summary+cards=530ms total=702ms
[weekly-cards][timing] line aggregates+verdict 156ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=162ms currentWeek=0ms summary+cards=514ms total=676ms
[weekly-cards][timing] line aggregates+verdict 153ms | weeks=21
[weekly-cards][timing] getWeeklyGrowth crew=178ms currentWeek=0ms summary+cards=514ms total=692ms
[weekly-cards][timing] line aggregates+verdict 155ms | weeks=40
[weekly-cards][timing] getWeeklyGrowth crew=160ms currentWeek=0ms summary+cards=550ms total=710ms
[weekly-cards][timing] line aggregates+verdict 156ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=161ms currentWeek=0ms summary+cards=540ms total=701ms
[weekly-cards][timing] line aggregates+verdict 157ms | weeks=16
[weekly-cards][timing] getWeeklyGrowth crew=175ms currentWeek=0ms summary+cards=516ms total=691ms
[weekly-cards][timing] line aggregates+verdict 168ms | weeks=18
[weekly-cards][timing] getWeeklyGrowth crew=157ms currentWeek=0ms summary+cards=538ms total=695ms
[weekly-cards][timing] line aggregates+verdict 165ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=193ms currentWeek=0ms summary+cards=549ms total=742ms
[weekly-cards][timing] line aggregates+verdict 161ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=184ms currentWeek=0ms summary+cards=525ms total=709ms
[weekly-cards][timing] line aggregates+verdict 148ms | weeks=15
[weekly-cards][timing] getWeeklyGrowth crew=163ms currentWeek=0ms summary+cards=539ms total=702ms
[weekly-cards][timing] line aggregates+verdict 163ms | weeks=14
[weekly-cards][timing] getWeeklyGrowth crew=163ms currentWeek=0ms summary+cards=537ms total=700ms
[weekly-cards][timing] line aggregates+verdict 156ms | weeks=15
[weekly-cards][timing] getWeeklyGrowth crew=196ms currentWeek=0ms summary+cards=522ms total=718ms
[weekly-cards][timing] line aggregates+verdict 159ms | weeks=15
[weekly-cards][timing] getWeeklyGrowth crew=180ms currentWeek=0ms summary+cards=554ms total=734ms
[weekly-cards][timing] line aggregates+verdict 162ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=168ms currentWeek=0ms summary+cards=529ms total=697ms
[weekly-cards][timing] line aggregates+verdict 154ms | weeks=16
[weekly-cards][timing] getWeeklyGrowth crew=175ms currentWeek=0ms summary+cards=527ms total=702ms
[weekly-cards][timing] line aggregates+verdict 162ms | weeks=17
[weekly-cards][timing] getWeeklyGrowth crew=165ms currentWeek=0ms summary+cards=531ms total=696ms
[weekly-cards][timing] line aggregates+verdict 156ms | weeks=14
[weekly-cards][timing] getWeeklyGrowth crew=160ms currentWeek=0ms summary+cards=532ms total=692ms
[weekly-cards][timing] line aggregates+verdict 154ms | weeks=16
[weekly-cards][timing] getWeeklyGrowth crew=173ms currentWeek=0ms summary+cards=541ms total=714ms
[weekly-cards][timing] line aggregates+verdict 169ms | weeks=35
[weekly-cards][timing] getWeeklyGrowth crew=165ms currentWeek=0ms summary+cards=544ms total=709ms
[weekly-cards][timing] line aggregates+verdict 155ms | weeks=35
[weekly-cards][timing] getWeeklyGrowth crew=178ms currentWeek=0ms summary+cards=537ms total=715ms
[weekly-cards][timing] line aggregates+verdict 153ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=158ms currentWeek=0ms summary+cards=527ms total=685ms
[weekly-cards][timing] line aggregates+verdict 159ms | weeks=16
[weekly-cards][timing] getWeeklyGrowth crew=175ms currentWeek=0ms summary+cards=529ms total=704ms
[impact] 50/121
[weekly-cards][timing] line aggregates+verdict 157ms | weeks=18
[weekly-cards][timing] getWeeklyGrowth crew=172ms currentWeek=0ms summary+cards=517ms total=689ms
[weekly-cards][timing] line aggregates+verdict 161ms | weeks=37
[weekly-cards][timing] getWeeklyGrowth crew=168ms currentWeek=0ms summary+cards=556ms total=724ms
[weekly-cards][timing] line aggregates+verdict 158ms | weeks=17
[weekly-cards][timing] getWeeklyGrowth crew=174ms currentWeek=0ms summary+cards=567ms total=741ms
[weekly-cards][timing] line aggregates+verdict 158ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=164ms currentWeek=0ms summary+cards=521ms total=685ms
[weekly-cards][timing] line aggregates+verdict 158ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=173ms currentWeek=0ms summary+cards=542ms total=715ms
[weekly-cards][timing] line aggregates+verdict 169ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=164ms currentWeek=0ms summary+cards=579ms total=743ms
[weekly-cards][timing] line aggregates+verdict 154ms | weeks=22
[weekly-cards][timing] getWeeklyGrowth crew=169ms currentWeek=0ms summary+cards=536ms total=705ms
[weekly-cards][timing] line aggregates+verdict 165ms | weeks=13
[weekly-cards][timing] getWeeklyGrowth crew=161ms currentWeek=0ms summary+cards=546ms total=707ms
[weekly-cards][timing] line aggregates+verdict 167ms | weeks=30
[weekly-cards][timing] getWeeklyGrowth crew=170ms currentWeek=0ms summary+cards=568ms total=738ms
[weekly-cards][timing] line aggregates+verdict 154ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=163ms currentWeek=0ms summary+cards=545ms total=708ms
