[5A] 대상 사용자 = 121
[weekly-cards][timing] line aggregates+verdict 187ms | weeks=17
[weekly-cards][timing] getWeeklyGrowth crew=211ms currentWeek=0ms summary+cards=597ms total=808ms
[weekly-cards][timing] line aggregates+verdict 174ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=208ms currentWeek=0ms summary+cards=607ms total=815ms
[weekly-cards][timing] line aggregates+verdict 200ms | weeks=37
[weekly-cards][timing] getWeeklyGrowth crew=206ms currentWeek=0ms summary+cards=616ms total=822ms
[weekly-cards][timing] line aggregates+verdict 161ms | weeks=18
[weekly-cards][timing] getWeeklyGrowth crew=192ms currentWeek=0ms summary+cards=556ms total=748ms
[weekly-cards][timing] line aggregates+verdict 180ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=195ms currentWeek=0ms summary+cards=565ms total=760ms
[weekly-cards][timing] line aggregates+verdict 160ms | weeks=14
[weekly-cards][timing] getWeeklyGrowth crew=189ms currentWeek=0ms summary+cards=584ms total=773ms
[weekly-cards][timing] line aggregates+verdict 160ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=182ms currentWeek=0ms summary+cards=538ms total=720ms
[weekly-cards][timing] line aggregates+verdict 169ms | weeks=12
[weekly-cards][timing] getWeeklyGrowth crew=173ms currentWeek=0ms summary+cards=576ms total=749ms
[weekly-cards][timing] line aggregates+verdict 164ms | weeks=32
[weekly-cards][timing] getWeeklyGrowth crew=179ms currentWeek=0ms summary+cards=554ms total=733ms
[weekly-cards][timing] line aggregates+verdict 161ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=165ms currentWeek=0ms summary+cards=550ms total=715ms
[weekly-cards][timing] line aggregates+verdict 157ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=192ms currentWeek=0ms summary+cards=551ms total=743ms
[weekly-cards][timing] line aggregates+verdict 168ms | weeks=4
[weekly-cards][timing] getWeeklyGrowth crew=194ms currentWeek=0ms summary+cards=574ms total=768ms
[weekly-cards][timing] line aggregates+verdict 167ms | weeks=16
[weekly-cards][timing] getWeeklyGrowth crew=164ms currentWeek=0ms summary+cards=559ms total=723ms
[weekly-cards][timing] line aggregates+verdict 163ms | weeks=16
[weekly-cards][timing] getWeeklyGrowth crew=180ms currentWeek=0ms summary+cards=543ms total=723ms
[weekly-cards][timing] line aggregates+verdict 179ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=182ms currentWeek=0ms summary+cards=609ms total=791ms
[weekly-cards][timing] line aggregates+verdict 164ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=165ms currentWeek=0ms summary+cards=526ms total=691ms
[weekly-cards][timing] line aggregates+verdict 166ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=168ms currentWeek=0ms summary+cards=531ms total=699ms
[weekly-cards][timing] line aggregates+verdict 155ms | weeks=14
[weekly-cards][timing] getWeeklyGrowth crew=189ms currentWeek=0ms summary+cards=578ms total=767ms
[weekly-cards][timing] line aggregates+verdict 159ms | weeks=17
[weekly-cards][timing] getWeeklyGrowth crew=223ms currentWeek=0ms summary+cards=531ms total=754ms
[weekly-cards][timing] line aggregates+verdict 160ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=165ms currentWeek=0ms summary+cards=551ms total=716ms
[weekly-cards][timing] line aggregates+verdict 158ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=208ms currentWeek=0ms summary+cards=551ms total=759ms
[weekly-cards][timing] line aggregates+verdict 165ms | weeks=35
[weekly-cards][timing] getWeeklyGrowth crew=167ms currentWeek=0ms summary+cards=569ms total=736ms
[weekly-cards][timing] line aggregates+verdict 170ms | weeks=15
