page,role,writes_data,write_api,primary_tables,reads_data,read_api,external_api,risk
/,조회·검증,no,,,no,,,LOW
/login,조회·검증,no,,admin_users,yes,/api/admin/debug-session,,LOW
/forgot-password,상태 전이,yes,POST /api/auth/password-reset/request,admin_users,no,,,MEDIUM
/reset-password,상태 전이,yes,POST /api/auth/password-reset/complete,auth_accounts;admin_users,no,,,MEDIUM
/admin,조회·검증,no,,admin_page_help_contents,yes,GET /api/admin/help,,LOW
/admin/dashboard,조회·검증,no,,admin_page_help_contents,no,GET /api/admin/help,,LOW
/admin/communications,조회·검증,no,,admin_page_help_contents,no,GET /api/admin/help,,LOW
/admin/import,조회·검증,no,,admin_page_help_contents,no,GET /api/admin/help,,LOW
/admin/settings,조회·검증,no,,admin_page_help_contents,no,GET /api/admin/help,,LOW
/admin/processes/check,조회·검증,no,,admin_page_help_contents,no,GET /api/admin/help,,LOW
/admin/team-parts/register,조회·검증,no,,admin_page_help_contents,no,GET /api/admin/help,,LOW
/admin/team-parts/info/seasons,조회·검증,no,,admin_page_help_contents,no,GET /api/admin/help,,LOW
/admin/club-progress/seasons,조회·검증,no,,admin_page_help_contents,no,GET /api/admin/help,,LOW
/admin/applicants,조회·검증,no,,,no,,,LOW
/admin/crews,조회·검증,no,,,no,,,LOW
/admin/season-weeks,조회·검증,no,,,no,,,LOW
/admin/users,조회·검증,no,,,no,,,LOW
/admin/users/admin-users,조회·검증,no,,,no,,,LOW
/admin/integrated/line-opening/practical-info,복합 역할,yes,"POST /api/admin/cluster4/info-lines","cluster4_lines;cluster4_line_targets",yes,"GET /api/admin/cluster4/info-lines",/api/cluster4/weekly-cards,MEDIUM
/admin/integrated/line-opening/practical-experience,복합 역할,yes,"POST /api/admin/cluster4/experience/team-overall","cluster4_experience_team_overall;cluster4_lines",yes,"GET /api/admin/cluster4/experience/opening-status",/api/cluster4/weekly-cards,MEDIUM
/admin/integrated/line-opening/practical-competency,복합 역할,yes,"POST /api/admin/cluster4/competency/opening","cluster4_lines;cluster4_competency_week_output",yes,"GET /api/admin/cluster4/competency/opening-status",/api/cluster4/weekly-cards,MEDIUM
/admin/integrated/processes/check/info,복합 역할,yes,POST /api/admin/processes/check,"process_check_statuses;process_point_awards;user_weekly_points",yes,GET /api/admin/processes/check,/api/cluster3/club-rank,HIGH
/admin/integrated/processes/check/club,복합 역할,yes,POST /api/admin/processes/check,"process_check_statuses;process_point_awards;user_weekly_points",yes,GET /api/admin/processes/check,/api/cluster3/club-rank,HIGH
/admin/integrated/processes/check/experience,복합 역할,yes,POST /api/admin/processes/check,"process_check_statuses;process_point_awards;user_weekly_points",yes,GET /api/admin/processes/check,/api/cluster3/club-rank,HIGH
/admin/integrated/processes/check/competency,복합 역할,yes,POST /api/admin/processes/check,"process_check_statuses;process_point_awards;user_weekly_points",yes,GET /api/admin/processes/check,/api/cluster3/club-rank,HIGH
/admin/integrated/processes/check/irregular,복합 역할,yes,POST /api/admin/processes/check/irregular,"process_irregular_acts;process_check_review_recipients;process_point_awards;user_weekly_points",yes,GET /api/admin/processes/check/irregular,/api/cluster3/club-rank,HIGH
/admin/lines/register,기준정보 생성·관리,yes,"POST /api/admin/lines/registrations;PATCH /api/admin/lines/registrations/[id];POST /api/admin/lines/registrations/[id]/bridge;PUT /api/admin/lines/point-configs","line_registrations;cluster4_experience_line_masters;cluster4_competency_line_masters;career_projects;cluster4_line_point_configs",yes,GET /api/admin/lines/registrations,/api/cluster4/weekly-cards,HIGH
/admin/lines/info,기준정보 생성·관리,yes,"POST /api/admin/lines/registrations;PATCH /api/admin/lines/registrations/[id];POST /api/admin/lines/registrations/[id]/bridge;PUT /api/admin/lines/point-configs","line_registrations;cluster4_experience_line_masters;cluster4_competency_line_masters;career_projects;cluster4_line_point_configs",yes,GET /api/admin/lines/registrations,/api/cluster4/weekly-cards,HIGH
/admin/processes/register,기준정보 생성·관리,yes,"POST /api/admin/processes/line-groups;DELETE /api/admin/processes/line-groups/[id];POST /api/admin/processes/acts;DELETE /api/admin/processes/acts/[id]","process_line_groups;process_acts",yes,"GET /api/admin/processes/info;GET /api/admin/processes/line-groups",,HIGH
/admin/processes/info,기준정보 생성·관리,yes,"POST /api/admin/processes/line-groups;DELETE /api/admin/processes/line-groups/[id];POST /api/admin/processes/acts;DELETE /api/admin/processes/acts/[id]","process_line_groups;process_acts",yes,"GET /api/admin/processes/info;GET /api/admin/processes/line-groups",,HIGH
/admin/periods/register,기준정보 생성·관리,yes,POST /api/admin/season-weeks,"seasons;weeks;season_definitions",yes,GET /api/admin/season-weeks,,HIGH
/admin/career-projects,기준정보 생성·관리,yes,"DELETE /api/admin/career-projects/[id];PATCH /api/admin/career-projects/[id]/weeks","career_projects;career_project_weeks",yes,"GET /api/admin/career-projects;GET /api/admin/career-projects/[id]/weeks",,MEDIUM
/admin/official-rest-periods,기준정보 생성·관리,yes,"POST /api/admin/official-rest-periods;PATCH /api/admin/official-rest-periods/[id];DELETE /api/admin/official-rest-periods/[id];POST /api/admin/cluster4/recompute-official-rest-snapshots","official_rest_periods;cluster4_weekly_card_snapshots",yes,GET /api/admin/official-rest-periods,/api/cluster4/weekly-cards,HIGH
/admin/settings/accounts,기준정보 생성·관리,yes,"POST /api/admin/accounts;PATCH /api/admin/accounts/[user_id];POST /api/admin/accounts/[user_id]/password-reset","admin_users;user_profiles;users;user_role_audit",yes,GET /api/admin/accounts,,MEDIUM
/admin/settings/permissions,기준정보 생성·관리,yes,PATCH /api/admin/permissions/[key],"role_permissions;role_permissions_audit;permissions",yes,GET /api/admin/permissions,,MEDIUM
/admin/settings/line-opening-windows,기준정보 생성·관리,yes,"POST /api/admin/line-opening-windows;PATCH /api/admin/line-opening-windows/[id];DELETE /api/admin/line-opening-windows/[id]",line_opening_windows,yes,"GET /api/admin/line-opening-windows;GET /api/admin/line-opening-windows/weeks",,MEDIUM
/admin/settings/process-check-windows,기준정보 생성·관리,yes,"POST /api/admin/process-check-windows;PATCH /api/admin/process-check-windows/[id];DELETE /api/admin/process-check-windows/[id]",process_check_windows,yes,"GET /api/admin/process-check-windows;GET /api/admin/process-check-windows/weeks",,MEDIUM
/admin/settings/edit-windows,관계·배정,yes,"PATCH /api/admin/edit-windows/[user_id];POST /api/admin/edit-windows/bulk","user_edit_windows;cluster4_weekly_card_snapshots",yes,"GET /api/admin/edit-windows;GET /api/admin/edit-windows/weeks",/api/edit-windows/permission,MEDIUM
/admin/line-opening/practical-info,운영 인스턴스 생성,yes,"POST /api/admin/cluster4/info-lines;DELETE /api/admin/cluster4/info-lines;PATCH /api/admin/cluster4/lines/[id];PATCH /api/admin/cluster4/info-lines/crew;POST /api/admin/cluster4/cafe-line-crew","cluster4_lines;cluster4_line_targets;cluster4_line_opening_logs;process_point_awards;user_weekly_points",yes,"GET /api/admin/cluster4/info-lines;GET /api/admin/cluster4/info-line-open-status;GET /api/admin/cluster4/info-line-results;GET /api/admin/cluster4/activity-types;GET /api/admin/line-opening-windows/active;GET /api/admin/cluster4/opening-logs;GET /api/admin/cluster4/cafe-line-crew","/api/cluster4/weekly-cards;/api/cluster4/lines/detail",HIGH
/admin/line-opening/practical-experience,운영 인스턴스 생성,yes,"POST /api/admin/cluster4/experience-drafts;PATCH /api/admin/cluster4/experience-drafts/[id];PATCH /api/admin/cluster4/experience-drafts/[id]/review;POST /api/admin/cluster4/experience-drafts/open;POST /api/admin/cluster4/experience/part-input;DELETE /api/admin/cluster4/experience/part-input;POST /api/admin/cluster4/experience/team-overall;DELETE /api/admin/cluster4/experience-line-masters/[id]","cluster4_experience_line_drafts;cluster4_experience_part_submissions;cluster4_experience_part_submission_cells;cluster4_experience_team_overall;cluster4_experience_team_overall_cells;cluster4_experience_team_overall_outputs;cluster4_experience_team_overall_opened_lines;cluster4_lines;cluster4_line_targets;cluster4_experience_line_evaluations;cluster4_experience_opening_logs",yes,"GET /api/admin/cluster4/experience-drafts;GET /api/admin/cluster4/experience/part-input;GET /api/admin/cluster4/experience/team-overall;GET /api/admin/cluster4/experience/opening-status;GET /api/admin/cluster4/experience/line-manage;GET /api/admin/cluster4/experience-workflow-summary;GET /api/admin/cluster4/experience/opening-logs;GET /api/admin/cluster4/teams","/api/cluster4/weekly-cards;/api/cluster4/lines/detail",HIGH
